695,34,141,14
392,20,218,24
29,38,270,45
721,6,531,16
769,45,560,22
9,19,7,24
317,7,31,30
464,10,46,41
436,3,80,46
687,30,85,12
538,10,91,38
219,0,113,62
10,21,116,38
193,10,126,24
667,14,130,24
247,14,136,52
705,21,156,24
166,30,165,33
175,13,174,31
541,23,180,21
504,48,182,7
315,34,183,21
693,7,194,53
397,0,253,34
69,16,334,65
99,24,349,40
581,21,408,28
681,7,434,44
514,20,442,59
736,17,461,26
422,23,474,37
302,19,535,38
475,18,563,35
303,14,545,35
588,26,546,44
88,10,623,35
483,20,635,42
645,7,641,41
221,14,662,42
239,28,669,49
305,14,692,20
111,35,737,28
534,7,37,14
146,31,143,52
555,14,365,42
663,7,395,28
526,31,450,34
498,52,503,36
379,21,544,48
761,49,583,0
688,35,706,38
141,7,4,48
186,3,6,42
191,7,27,42
430,20,30,14
520,13,32,20
548,37,35,30
502,21,40,27
618,17,55,56
699,28,77,35
561,34,95,52
666,13,96,27
709,17,131,20
115,49,135,19
195,30,138,23
197,12,142,48
51,44,161,19
242,20,169,27
74,19,211,38
76,36,223,31
112,26,225,23
124,13,236,46
62,72,250,7
201,7,263,65
488,22,269,40
5,3,287,42
53,24,292,34
393,14,297,38
477,26,298,29
294,17,311,24
458,14,312,49
647,24,313,48
518,0,316,59
652,24,318,38
605,14,340,13
626,24,344,0
416,38,354,28
251,9,355,31
245,3,327,55
419,10,361,14
690,17,372,56
281,0,376,79
343,8,380,47
592,28,384,34
414,10,386,15
700,14,390,45
398,21,394,40
603,0,437,80
277,7,446,45
577,21,447,35
559,31,454,39
203,21,463,24
188,6,465,34
184,7,468,47
93,10,469,57
1,31,472,51
289,10,476,24
220,21,493,45
532,20,494,41
460,21,499,24
285,7,511,79
423,27,513,14
696,30,516,14
657,28,523,26
591,19,554,77
722,0,562,6
462,24,578,20
764,13,579,28
427,31,580,17
233,23,586,31
14,10,589,38
400,48,595,17
480,7,617,17
630,40,550,20
34,7,629,39
89,12,633,56
246,38,634,30
417,20,636,26
560,58,637,59
357,14,638,45
521,44,644,23
429,10,646,45
291,7,640,35
653,28,648,21
319,54,650,49
98,14,659,43
593,23,671,56
280,34,672,36
244,30,694,6
82,10,707,17
198,14,713,47
456,7,715,58
609,13,717,35
304,13,731,20
387,49,733,27
426,13,738,48
330,17,752,30
208,19,755,7
418,31,767,37
435,30,8,35
70,36,301,15
279,31,496,49
486,35,358,17
249,33,15,21
741,20,25,45
36,23,33,26
296,24,38,9
727,13,105,20
226,30,117,34
515,37,118,35
210,39,125,42
575,17,151,41
664,10,177,24
445,21,189,13
473,14,205,51
215,23,213,24
732,20,235,17
90,51,261,7
734,13,286,38
758,42,308,6
347,13,352,57
654,38,367,21
602,35,374,12
331,16,389,21
57,14,405,28
407,44,409,20
412,7,410,52
448,39,421,27
444,45,424,35
457,7,470,17
59,33,479,7
266,14,507,16
403,21,508,20
307,17,529,12
553,35,547,17
238,14,587,7
585,34,590,14
383,10,658,41
346,27,712,49
576,62,718,37
100,7,744,66
332,27,762,15
557,63,13,28
554,7,31,19
26,19,56,33
372,7,76,14
621,34,164,0
459,37,172,12
229,27,206,55
21,20,237,14
176,37,314,7
278,21,404,27
123,45,510,14
706,41,534,21
97,59,600,13
752,17,696,52
766,0,702,51
30,14,1,66
145,41,2,10
271,57,3,7
7,31,5,20
456,10,6,62
34,52,8,34
665,31,9,38
88,3,10,45
691,38,11,3
173,6,12,56
415,7,14,45
52,31,20,14
79,34,22,20
471,21,24,34
669,41,27,56
254,8,28,23
474,41,29,65
662,6,40,24
139,3,42,41
684,0,43,52
610,40,44,50
282,48,45,34
111,24,46,16
163,30,47,23
253,20,51,3
225,29,53,57
640,14,55,63
152,44,58,6
230,25,61,26
755,11,62,47
65,14,67,34
574,10,68,42
122,48,72,31
622,33,73,14
69,49,74,24
535,13,77,45
165,10,82,13
438,39,83,7
248,10,84,41
606,23,92,6
295,27,93,30
567,14,98,38
364,0,101,41
517,23,108,17
728,37,109,9
322,32,110,31
390,37,112,40
482,12,114,42
161,20,115,13
527,38,119,8
714,43,127,7
467,43,129,13
351,24,134,13
641,10,136,24
447,31,143,34
736,13,146,38
182,17,154,10
216,7,155,38
287,31,156,23
299,6,157,33
217,0,159,63
131,6,162,14
523,0,166,44
700,7,169,45
492,13,178,42
147,36,181,7
707,9,183,30
660,10,184,7
463,13,186,45
708,3,187,44
239,9,188,48
571,10,191,48
420,28,196,35
348,31,198,59
435,26,200,20
648,28,203,35
466,31,204,24
324,28,207,42
513,14,208,22
60,21,212,35
635,0,218,45
113,48,220,14
737,20,221,14
355,44,223,45
402,38,228,17
723,69,232,0
408,38,233,35
530,35,241,19
370,3,242,43
442,17,244,63
365,18,245,26
236,42,246,48
583,10,247,14
199,10,252,35
710,60,255,21
337,28,256,0
373,19,259,50
48,28,262,16
701,36,263,17
121,45,264,31
750,38,267,21
503,28,270,31
361,20,273,28
396,29,274,14
369,41,275,0
86,7,276,33
451,10,277,13
521,17,279,37
647,13,280,58
258,43,283,69
120,31,285,41
533,7,288,22
434,14,289,42
644,44,291,63
193,0,292,52
452,13,293,24
170,42,294,35
544,0,297,30
126,20,303,41
605,7,304,44
180,34,305,0
678,7,306,21
257,49,309,28
138,12,311,7
80,0,312,52
630,12,313,37
316,23,317,26
195,17,318,38
243,27,319,30
153,17,321,14
433,20,323,23
39,16,325,54
748,50,329,24
71,14,328,29
104,44,333,34
417,20,334,23
616,45,338,13
231,35,339,20
601,7,341,68
519,51,343,0
518,9,349,34
251,14,357,20
344,14,354,35
194,0,358,42
540,35,363,25
626,20,376,63
64,31,377,10
588,45,379,20
413,14,381,24
336,21,385,20
592,24,386,55
209,56,388,48
637,17,393,48
37,21,394,24
738,17,395,51
250,33,397,38
636,26,398,45
677,45,411,7
32,17,414,31
589,15,416,38
731,7,418,38
598,45,419,37
135,6,423,44
102,24,362,7
745,38,425,0
330,21,426,24
461,17,427,61
546,17,429,38
142,28,431,14
103,24,428,31
240,27,440,41
453,26,441,45
720,20,443,31
743,35,449,49
698,21,460,44
392,25,462,28
733,0,465,41
468,7,469,38
593,14,477,34
382,9,478,30
692,7,481,47
401,33,483,7
651,22,484,19
149,10,487,33
310,3,489,0
130,0,493,42
506,10,495,22
580,14,496,70
272,35,497,28
384,14,498,56
450,6,502,77
740,31,504,38
91,13,511,45
494,10,516,20
573,7,520,70
387,45,522,7
132,17,525,21
694,24,526,42
514,17,531,20
174,44,532,36
41,36,536,26
632,14,537,31
320,13,538,7
107,37,539,6
430,34,541,53
439,66,542,14
749,38,543,28
18,14,528,52
89,10,555,30
485,22,558,19
488,0,559,77
666,38,561,35
663,34,563,16
596,47,566,7
491,24,569,21
133,48,570,28
501,18,572,20
472,27,548,49
301,14,577,37
124,10,578,72
335,0,579,34
326,3,581,38
144,37,582,33
617,20,586,45
197,24,591,21
432,21,594,34
505,35,595,34
604,56,603,6
234,21,609,6
160,14,611,45
380,35,612,42
650,38,613,14
657,3,614,69
